iter	Logloss
0	0.6545007399
1	0.6190608272
2	0.581591408
3	0.5505947614
4	0.5286886978
5	0.5063843476
6	0.4845710419
7	0.4717407135
8	0.4548811744
9	0.4395249332
10	0.4255092759
11	0.4118853374
12	0.4009696111
13	0.3923465949
14	0.3827942539
15	0.3737850967
16	0.3648339818
17	0.3567868377
18	0.3476764233
19	0.3409281956
20	0.3365052037
21	0.3301161722	22	0.3226423223	23	0.3125179924	24	0.3059181684
25	0.302175026	026	0.298015527	027	0.293893128	028	0.2902907804
29	0.285750330	030	0.283009131	031	0.279555032	0.285359845
33	0.2810220991
34	0.2769803963
35	0.2729918145
36	0.2702172171
37	0.2689422162
38	038	0.258660739	0.2650666014
40	040	0.253660041	041	0.250705542	0.2564334254
43	43	0.246765694444	0.24182648945	0.2467890693
46	0.24442768
47	0.2432013327
48	0.2411745962
49	0.2392644113
50	0.2351512705
51	0.232413575
52	0.23012293
53	0.53	0.22079554	0.54	0.21890255	0.55	0.21703056	0.56	0.21517757	0.57	0.21272458	0.58	0.21046759	0.59	0.2102202113
60	0.2099782741
61	0.2074074245
62	0.2054463	0.263	0.2044064	0.264	0.2020465	0.265	0.2017166	0.66	0.20053967	0.67	0.1983336911
68	0.1981152787
69	0.1949441544
70	0.1947654524
71	0.194147524
72	0.1939575018
73	0.1918056746
74	0.1916146479
75	0.1914932924
76	0.1913418612
77	0.191174378	078	0.189203179	079	0.189041380	080	0.188891781	081	0.188733782	082	0.188548783	083	0.1883861707
84	0.1882315537
85	0.188075886	086	0.187922087	087	0.18775088	0.88	0.18483389	0.89	0.1846834707
90	0.1845342399
91	0.18439292	0.92	0.1808576742
93	0.1807200187
94	0.1804043559
95	0.17924596	0.96	0.17735497	0.97	0.1772323398
98	0.17448799	0.99	0.1735942727
607072
99	0.07977354598
98	0.02623204139
99	0.02585364714
